NWR,FLI (Day),FBI (Day),FLI (%),FBI (%),FLIDELTA,FBIDELTA,FLI_102030_avg_rate,FBI_102030_avg_rate,"FLI SD, AVG"
GREAT BAY NATIONAL WILDLIFE REFUGE  ,106.2857,136.4937,1.083654,1.083654,0.2339455,0.2339455,-0.929396983,-0.718308179,8.049289
GREAT DISMAL SWAMP NATIONAL WILDLIFE REFUGE  ,51.02094,87.65106,25.33969,11.54404,43.02258,27.92139,-0.305575118,-0.471812376,11.55999
GREAT MEADOWS NATIONAL WILDLIFE REFUGE  ,102.9887,131.2932,2.054528,1.083654,2.808226,0.2339455,-0.721440315,-0.738021883,7.112379
GREAT RIVER NATIONAL WILDLIFE REFUGE  ,80.97823,108.4699,8.297351,1.083654,12.77368,0.2339455,-0.863531273,-1.036464974,7.032589
GREAT SWAMP NATIONAL WILDLIFE REFUGE  ,86.82024,117.1276,4.713121,1.083654,8.503919,0.2339455,-1.071922234,-1.00129406,8.021667
GREAT WHITE HERON NATIONAL WILDLIFE REFUGE  ,12.11491,25.76555,58.90576,55.80443,26.52942,33.0565,0.026373644,0.063276732,3.26843
GREEN BAY NATIONAL WILDLIFE REFUGE  ,112.8823,146.2332,1.083654,9.303023,0.2339455,13.84894,-1.222600471,-0.635110141,10.82114
GREEN CAY NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,#VALUE!,#VALUE!,NaN 
GRULLA NATIONAL WILDLIFE REFUGE  ,52.02925,87.18702,7.204054,1.083654,9.006901,0.2339455,-0.747939317,-1.201603687,8.307991
GUADALUPE-NIPOMO DUNES NATIONAL WILDLIFE REFUGE  ,26.19344,52.86584,1.442077,2.525731,1.179664,1.284059,-0.530486009,-0.988428779,3.29497
HACKMATACK NATIONAL WILDLIFE REFUGE  ,95.18333,123.6537,1.730903,1.083654,1.837353,0.2339455,-1.111775606,-0.862033853,8.154299
HAGERMAN NATIONAL WILDLIFE REFUGE  ,40.38377,70.73588,53.57922,18.07569,45.13978,35.68838,0.015728811,-0.502624038,8.676678
HAILSTONE NATIONAL WILDLIFE REFUGE  ,105.6906,145.0902,9.520198,34.78619,16.9452,35.13408,-0.965484434,-0.15870675,10.46013
HAKALAU FOREST NATIONAL WILDLIFE REFUGE  ,15.54799,30.3552,4.464166,2.534116,7.358466,2.539189,-0.153442924,-0.247828364,0.8618951
HALFBREED LAKE NATIONAL WILDLIFE REFUGE  ,105.4705,144.818,9.520198,33.4137,16.9452,36.3389,-0.984843892,-0.167712451,10.6202
HAMDEN SLOUGH NATIONAL WILDLIFE REFUGE  ,109.9749,137.8087,1.083654,12.77116,0.2339455,16.55655,-0.759805827,-0.571241373,9.564207
HANALEI NATIONAL WILDLIFE REFUGE  ,10.28333,22.25741,22.19409,18.01544,12.42389,10.53245,-0.085447026,-0.155196531,0.9162249
HANDY BRAKE NATIONAL WILDLIFE REFUGE  ,35.55447,65.17655,68.44654,55.11068,20.34156,22.41198,0.413358926,0.116685413,8.383696
HARBOR ISLAND NATIONAL WILDLIFE REFUGE  ,116.336,147.8395,1.083654,10.17583,0.2339455,13.58984,-1.033157733,-0.614162313,9.731355
HARRIS NECK NATIONAL WILDLIFE REFUGE  ,27.96667,55.62222,60.11234,67.94054,6.117549,24.459,0.186796581,0.308475677,4.899456
HART MOUNTAIN NATIONAL ANTELOPE REFUGE  ,106.5765,145.504,52.82787,85.91405,76.10247,32.99801,0.06816763,0.38277942,10.68555
HATCHIE NATIONAL WILDLIFE REFUGE  ,51.60508,84.70122,50.05083,12.27354,23.58171,11.1802,-0.049701806,-0.397515413,11.05534
HAVASU NATIONAL WILDLIFE REFUGE  ,27.25336,52.70771,4.397882,9.651803,8.633469,10.7147,-0.446124848,-0.538439078,3.672751
HAWAIIAN ISLANDS NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,#VALUE!,#VALUE!,NaN 
HEWITT LAKE NATIONAL WILDLIFE REFUGE  ,105.3561,137.8442,12.97362,30.82345,20.04146,21.84221,-0.909672707,-0.272883217,8.252858
HILLSIDE NATIONAL WILDLIFE REFUGE  ,38.2642,68.68034,67.11724,49.88317,17.42894,18.25945,0.401478892,-0.006036165,8.893026
HOBART LAKE NATIONAL WILDLIFE REFUGE  ,109.4104,137.363,1.8005,15.70688,2.254933,12.81254,-0.6568521,-0.469653598,8.946008
HOBE SOUND NATIONAL WILDLIFE REFUGE  ,14.75611,29.95434,56.33227,43.69854,19.46967,30.81062,0.022083463,-0.021713388,3.735236
HOLLA BEND NATIONAL WILDLIFE REFUGE  ,50.61004,83.28396,36.83946,6.679228,32.1792,12.77368,-0.191409116,-0.612305068,9.709702
HOLT COLLIER NATIONAL WILDLIFE REFUGE  ,39.82709,70.2763,67.79929,45.67304,18.39981,25.72231,0.43844458,-0.055781516,9.080052
HOPPER MOUNTAIN NATIONAL WILDLIFE REFUGE  ,30.50604,63.93968,1.765701,16.4522,0.9457184,13.07164,-0.614794491,-0.947369346,4.254248
HORICON NATIONAL WILDLIFE REFUGE  ,100.4608,129.1386,1.407279,1.083654,0.8664788,0.2339455,-1.100982933,-0.73795882,9.158148
HOWLAND ISLAND NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,#VALUE!,#VALUE!,NaN 
HULEIA NATIONAL WILDLIFE REFUGE  ,10.28333,22.25741,22.19409,18.01544,12.42389,10.53245,-0.085447026,-0.155196531,0.9162249
HUMBOLDT BAY NATIONAL WILDLIFE REFUGE  ,35.00525,72.0533,1.083654,18.40233,0.2339455,16.57504,-0.833362409,-0.906797543,4.660958
HURON NATIONAL WILDLIFE REFUGE  ,114.5672,147.056,1.083654,13.21926,0.2339455,21.24628,-0.97632831,-0.537798302,11.42365
HUTTON LAKE NATIONAL WILDLIFE REFUGE  ,115.4879,151.7428,5.655527,8.840205,3.912424,13.35829,-0.580890725,-0.458564625,9.979624
IMPERIAL NATIONAL WILDLIFE REFUGE  ,24.16599,45.88648,8.417258,3.820229,10.36643,3.415604,-0.341286549,-0.526491283,3.27938
INNOKO NATIONAL WILDLIFE REFUGE  ,133.6264,158.913,2.288473,1.808885,3.848403,1.33437,-0.779163166,-0.907645627,6.169294
IROQUOIS NATIONAL WILDLIFE REFUGE  ,103.9636,135.4522,1.083654,1.083654,0.2339455,0.2339455,-1.152304877,-0.876123366,8.082976
ISLAND BAY NATIONAL WILDLIFE REFUGE  ,13.11485,27.57118,42.04562,44.407,26.92713,31.04457,-0.022335966,-0.026028438,3.568959
IZEMBEK NATIONAL WILDLIFE REFUGE  ,144.1974,186.5817,16.37296,24.42672,13.41476,28.49456,-0.468274985,-0.377321742,8.34814
J. CLARK SALYER NATIONAL WILDLIFE REFUGE  ,112.6967,141.7185,2.517346,15.22729,4.40547,15.22218,-0.727403692,-0.478656619,8.71979
J. N. DING DARLING NATIONAL WILDLIFE REFUGE  ,13.3153,27.80377,46.21589,46.17271,30.57668,31.78149,-0.011341594,-0.017808901,3.566295
JAMES CAMPBELL NATIONAL WILDLIFE REFUGE  ,10.11007,21.84297,18.33906,13.44356,10.53245,6.490478,-0.065841958,-0.138814838,0.9226442
JAMES RIVER NATIONAL WILDLIFE REFUGE  ,57.75188,93.48759,16.63868,6.366043,25.78079,12.38741,-0.522276495,-0.593355802,11.37204
JARVIS ISLAND NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,#VALUE!,#VALUE!,NaN 
JOHN H. CHAFEE NATIONAL WILDLIFE REFUGE  ,97.16667,128.2833,4.3199,1.083654,9.604343,0.2339455,-0.793912104,-0.793547613,7.535414
JOHN HAY NATIONAL WILDLIFE REFUGE  ,108.6496,138.2784,1.083654,1.083654,0.2339455,0.2339455,-1.01683695,-0.670621856,8.131217
JOHN HEINZ NATIONAL WILDLIFE REFUGE AT TINICUM  ,80.98694,112.2055,5.106342,1.083654,7.533045,0.2339455,-0.776733287,-0.840918287,7.449523
JOHN W. AND LOUISE SEIER NATIONAL WILDLIFE REFUGE  ,92.73155,123.9935,3.48822,3.592615,4.171525,7.631277,-1.076665333,-0.676815409,8.76858
JOHNSON LAKE NATIONAL WILDLIFE REFUGE  ,110.8648,139.45,1.083654,14.86049,0.2339455,17.50227,-0.727115739,-0.488942061,9.237165
JOHNSTON ATOLL NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,#VALUE!,#VALUE!,NaN 
JULIA BUTLER HANSEN REFUGE FOR THE COLUMBIAN WHITE-TAILED DEER  ,54.10002,107.6021,7.351632,18.02714,4.889461,17.04293,-1.993826311,-1.176012991,11.31098
KAKAHAIA NATIONAL WILDLIFE REFUGE  ,10.37062,22.25211,21.47724,14.16041,10.78489,8.641016,-0.059731338,-0.123720296,0.778939
KANKAKEE NATIONAL WILDLIFE REFUGE AND CONSERVATION AREA  ,88.1867,115.7446,1.8005,1.083654,2.254933,0.2339455,-0.900623438,-1.118356976,7.004359
KANUTI NATIONAL WILDLIFE REFUGE  ,135.3554,158.1562,2.892539,1.083654,1.46392,0.2339455,-0.598538776,-0.787771627,5.473426
KARL E. MUNDT NATIONAL WILDLIFE REFUGE  ,94.86428,124.102,2.482547,3.635798,3.096256,6.556008,-0.999739672,-0.651388952,8.776176
KEALIA POND NATIONAL WILDLIFE REFUGE  ,10.46481,22.42592,23.20815,14.49242,12.49269,5.661481,-0.055188094,-0.10750466,0.715438
KELLYS SLOUGH NATIONAL WILDLIFE REFUGE  ,111.6961,139.5311,1.083654,14.94685,0.2339455,12.94209,-0.712533224,-0.509270478,9.550041
KENAI NATIONAL WILDLIFE REFUGE  ,133.1502,167.4495,7.053163,10.77864,10.57522,9.275939,-0.84693053,-1.031109784,5.825869
KERN NATIONAL WILDLIFE REFUGE  ,29.58553,60.06063,1.808885,16.3478,1.33437,13.89636,-0.623765107,-0.844094928,3.349671
KEY CAVE NATIONAL WILDLIFE REFUGE  ,46.13599,79.12924,50.47252,16.67474,31.81659,24.77483,-0.027338599,-0.509953947,11.11519
KEY WEST NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,#VALUE!,#VALUE!,NaN 
KILAUEA POINT NATIONAL WILDLIFE REFUGE  ,10.28333,22.25741,22.19409,18.01544,12.42389,10.53245,-0.085447026,-0.155196531,0.9162249
KINGMAN REEF NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,#VALUE!,#VALUE!,NaN 
KIRWIN NATIONAL WILDLIFE REFUGE  ,77.25865,109.9658,7.326477,3.234192,12.77368,6.556008,-1.02640905,-0.743395996,9.301545
KLAMATH MARSH NATIONAL WILDLIFE REFUGE  ,108.254,149.8352,55.55732,89.72258,79.95087,26.73997,0.128384303,0.503456974,11.66699
KODIAK NATIONAL WILDLIFE REFUGE  ,128.6601,168.362,14.86128,11.58185,18.68671,7.902704,-1.101421088,-1.096584651,10.13324
KOFA NATIONAL WILDLIFE REFUGE  ,24.85351,47.67063,7.290421,6.311162,9.395553,3.918587,-0.362270148,-0.538080276,3.297655
KOOTENAI NATIONAL WILDLIFE REFUGE  ,112.6451,146.2242,29.95395,46.42137,34.28471,14.84384,-0.202702819,-0.051590663,7.202392
KOYUKUK NATIONAL WILDLIFE REFUGE  ,136.8148,160.224,4.865773,1.407279,8.563285,0.8664788,-0.585669152,-0.805669225,5.654693
LACASSINE NATIONAL WILDLIFE REFUGE  ,23.42989,47.57279,39.91156,52.7493,21.31105,18.29454,-0.081113181,0.077007164,5.053817
LACREEK NATIONAL WILDLIFE REFUGE  ,93.14203,128.1762,3.48822,8.511214,4.171525,15.15816,-1.212734193,-0.520996827,8.666127
LAGUNA ATASCOSA NATIONAL WILDLIFE REFUGE  ,16.36965,33.57484,17.76397,21.35864,27.84039,30.85917,-0.273131233,-0.289272966,3.943756
LAGUNA CARTAGENA NATIONAL WILDLIFE REFUGE  ,7.230739,17.52012,9.547408,6.599988,13.62732,6.378536,-0.113250187,-0.193266796,0.4935559
LAKE ALICE NATIONAL WILDLIFE REFUGE  ,114.1319,142.5042,3.951037,16.38893,8.706546,13.88781,-0.671736956,-0.500820691,9.101082
LAKE ANDES NATIONAL WILDLIFE REFUGE  ,95.96007,124.9389,1.765701,2.875769,0.9457184,5.480739,-0.983910213,-0.643440144,8.989348
LAKE GEORGE NATIONAL WILDLIFE REFUGE  ,108.9897,137.8842,2.517346,16.86852,4.40547,12.10982,-0.705647308,-0.428841124,8.718132
LAKE ILO NATIONAL WILDLIFE REFUGE  ,107.5516,139.3512,4.30946,15.62052,9.781814,17.37272,-1.014044405,-0.451577745,8.555856
LAKE ISOM NATIONAL WILDLIFE REFUGE  ,58.74815,90.26481,32.90821,4.95671,11.86104,9.547869,-0.261771957,-0.56696576,10.35618
LAKE MASON NATIONAL WILDLIFE REFUGE  ,99.56007,137.6693,11.61791,35.6242,14.53556,33.79971,-1.065583319,-0.189111075,9.955135
LAKE NETTIE NATIONAL WILDLIFE REFUGE  ,109.7642,139.284,3.592615,15.26209,7.631277,16.29745,-0.765297376,-0.456036321,9.1458
LAKE OPHELIA NATIONAL WILDLIFE REFUGE  ,29.73524,57.26915,64.33417,62.37263,8.716985,19.80349,0.267845471,0.284248212,6.562868
LAKE THIBADEAU NATIONAL WILDLIFE REFUGE  ,106.8009,141.5304,13.26245,42.26104,18.96619,40.91707,-0.868618489,-0.117801135,8.6933
LAKE WALES RIDGE NATIONAL WILDLIFE REFUGE  ,17.99704,35.62111,33.5311,33.85472,35.11849,36.08936,-0.057083533,-0.102877661,4.335765
LAKE WOODRUFF NATIONAL WILDLIFE REFUGE  ,20.05464,40.13603,36.60601,46.34213,28.77127,21.58889,-0.074009292,-0.049051548,4.994224
LAKE ZAHL NATIONAL WILDLIFE REFUGE  ,110.2863,141.1522,4.30946,16.55659,9.781814,16.29745,-0.859742998,-0.407934271,8.37129
LAS VEGAS NATIONAL WILDLIFE REFUGE  ,82.48922,120.8329,5.614398,1.730903,13.48784,1.837353,-0.994599113,-0.795870708,8.723747
LEE METCALF NATIONAL WILDLIFE REFUGE  ,121.2441,158.3919,60.19615,79.20967,32.71149,30.0503,0.070244947,0.286783917,8.697591
LESLIE CANYON NATIONAL WILDLIFE REFUGE  ,35.56667,71.62407,5.524719,5.201095,9.604343,8.633469,-0.771925654,-1.095632328,4.564986
LEWIS AND CLARK NATIONAL WILDLIFE REFUGE  ,49.15552,103.1244,5.149526,18.02714,6.328226,17.04293,-1.978562465,-1.365922309,10.6549
LITTLE GOOSE NATIONAL WILDLIFE REFUGE  ,111.6181,139.6126,1.083654,14.54525,0.2339455,14.14691,-0.708935965,-0.504637111,9.435641
LITTLE PEND OREILLE NATIONAL WILDLIFE REFUGE  ,107.4781,140.2319,34.4151,51.42965,49.81869,15.11288,-0.182303431,-0.016367024,8.173964
LITTLE RIVER NATIONAL WILDLIFE REFUGE  ,40.01667,70.91327,50.35341,17.39364,45.13978,34.71751,-0.021524914,-0.450929333,8.79449
LITTLE SANDY NATIONAL WILDLIFE REFUGE  ,35.03602,64.53248,48.47162,23.81758,38.30254,35.48953,-0.018126637,-0.341327475,8.155764
LOGAN CAVE NATIONAL WILDLIFE REFUGE  ,56.7451,88.97886,18.93172,5.708354,31.80489,12.77368,-0.55450647,-0.772451686,10.71266
LONG LAKE NATIONAL WILDLIFE REFUGE  ,107.3343,136.9389,2.158923,16.86852,3.330201,12.10982,-0.803707999,-0.413310803,8.396543
LOST TRAIL NATIONAL WILDLIFE REFUGE  ,117.541,152.6871,30.86156,47.74228,31.09211,17.99041,-0.225867846,-0.034758164,8.165044
LOSTWOOD NATIONAL WILDLIFE REFUGE  ,112.3682,142.4751,4.667883,16.71255,10.85708,13.88781,-0.733403157,-0.432431441,8.671896
LOWER HATCHIE NATIONAL WILDLIFE REFUGE  ,51.61206,84.5305,49.29081,11.75077,24.78652,15.86993,-0.055937298,-0.415964864,11.00923
LOWER KLAMATH NATIONAL WILDLIFE REFUGE  ,99.33946,142.3659,35.44798,90.48261,61.00129,25.53515,-0.2307125,0.525334441,11.61956
LOWER RIO GRANDE VALLEY NATIONAL WILDLIFE REFUGE  ,17.0542,34.91498,9.431315,17.25289,14.35432,26.97568,-0.362977058,-0.353101432,4.041014
LOWER SUWANNEE NATIONAL WILDLIFE REFUGE  ,21.32005,42.65021,53.82331,57.89883,26.99655,24.62276,0.028870642,0.04350115,5.181717
MACKAY ISLAND NATIONAL WILDLIFE REFUGE  ,46.74672,84.45277,38.84954,17.90169,36.09779,40.54275,-0.160137321,-0.44112014,10.9615
MALHEUR NATIONAL WILDLIFE REFUGE  ,105.5939,144.0346,52.57384,91.24264,73.18985,25.3012,0.062458245,0.428563888,11.64729
MANDALAY NATIONAL WILDLIFE REFUGE  ,21.90441,44.94548,35.58328,54.74895,17.82614,12.56916,-0.095701569,0.12211091,4.704354
MARAIS DES CYGNES NATIONAL WILDLIFE REFUGE  ,71.82554,101.5918,19.51571,1.8005,25.51176,2.254933,-0.492755756,-0.741438126,8.881884
MARIN ISLANDS NATIONAL WILDLIFE REFUGE  ,29.38079,59.43874,1.083654,7.412844,0.2339455,8.213499,-0.555909469,-0.811655948,2.69872
MARTIN NATIONAL WILDLIFE REFUGE  ,58.41568,96.41714,18.86087,6.689667,33.78173,13.35829,-0.452924351,-0.613625672,11.61119
MASHPEE NATIONAL WILDLIFE REFUGE  ,93.72593,129.8778,3.025402,1.083654,5.720848,0.2339455,-1.187353252,-0.922237367,9.112094
MASON NECK NATIONAL WILDLIFE REFUGE  ,68.05999,101.3975,14.89939,3.453421,24.30694,3.64955,-0.554628534,-0.734982243,9.197613
MASSASOIT NATIONAL WILDLIFE REFUGE  ,95.17856,130.4838,2.701777,1.083654,4.749974,0.2339455,-1.135365257,-0.925806649,8.93107
MATHEWS BRAKE NATIONAL WILDLIFE REFUGE  ,40.47382,70.97855,67.79929,42.7805,18.39981,26.42414,0.453930165,-0.086622847,9.141318
MATLACHA PASS NATIONAL WILDLIFE REFUGE  ,13.78104,28.45702,50.26168,45.36949,27.69915,34.19113,0.00034579,-0.014120136,3.600056
MATTAMUSKEET NATIONAL WILDLIFE REFUGE  ,41.90603,77.25097,51.53102,21.38153,32.28448,43.45537,0.011998466,-0.379690534,9.518389
MAXWELL NATIONAL WILDLIFE REFUGE  ,86.26667,124.9204,6.016005,2.089326,13.48784,1.707802,-0.942592022,-0.540154347,8.278538
MCFADDIN NATIONAL WILDLIFE REFUGE  ,20.70994,43.05285,22.3841,45.4777,37.6085,28.80259,-0.21752053,-0.083188567,4.714804
MCKAY CREEK NATIONAL WILDLIFE REFUGE  ,92.21115,131.4607,27.17927,72.91528,21.69844,25.66382,-0.362624857,0.227062733,9.132649
MCLEAN NATIONAL WILDLIFE REFUGE  ,109.0765,139.677,3.234192,15.58572,6.556008,16.29745,-0.873436964,-0.46047585,8.864352
MCNARY NATIONAL WILDLIFE REFUGE  ,79.62959,117.6093,16.91501,34.41305,17.37272,39.87601,-0.762973721,-0.191829237,8.503504
MEDICINE LAKE NATIONAL WILDLIFE REFUGE  ,108.5387,139.9261,6.4252,19.10873,14.92421,21.54424,-0.924471843,-0.35505692,8.191731
MERCED NATIONAL WILDLIFE REFUGE  ,33.3282,69.62002,2.054528,15.77015,2.808226,11.99637,-0.784481361,-0.825578179,4.073683
MEREDOSIA NATIONAL WILDLIFE REFUGE  ,80.82731,108.2367,6.644429,1.083654,11.69841,0.2339455,-0.799685174,-1.009773929,7.274446
MERRITT ISLAND NATIONAL WILDLIFE REFUGE  ,15.3596,31.27038,49.25144,42.77924,28.5938,26.45923,0.010670284,-0.0421783,4.389772
MICHIGAN ISLANDS NATIONAL WILDLIFE REFUGE  ,110.4689,143.0224,1.083654,4.493892,0.2339455,5.246794,-1.196747525,-0.66829244,10.29617
MIDDLE MISSISSIPPI RIVER NATIONAL WILDLIFE REFUGE  ,68.93954,99.20396,15.02387,1.083654,30.83402,0.2339455,-0.534594537,-0.796460404,8.644836
MIDWAY ATOLL NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,#VALUE!,#VALUE!,NaN 
MILLE LACS NATIONAL WILDLIFE REFUGE  ,108.8329,137.8918,1.083654,9.118591,0.2339455,18.15002,-0.965807178,-0.642085393,10.30669
MINGO NATIONAL WILDLIFE REFUGE  ,62.50577,93.75957,19.28889,2.875769,31.83998,5.480739,-0.415412347,-0.667730846,9.485823
MINIDOKA NATIONAL WILDLIFE REFUGE  ,103.3849,139.0166,17.92274,75.75625,19.95555,26.40075,-0.526311258,0.241365835,10.05409
MINNESOTA VALLEY NATIONAL WILDLIFE REFUGE  ,103.9597,130.779,1.407279,1.442077,0.8664788,1.179664,-0.925827789,-0.728836114,9.231753
MISSISQUOI NATIONAL WILDLIFE REFUGE  ,113.6035,142.1029,1.48526,5.121058,1.438765,6.660403,-0.868196386,-0.610364961,6.171592
MISSISSIPPI SANDHILL CRANE NATIONAL WILDLIFE REFUGE  ,25.89203,51.52248,62.37771,66.50479,12.91367,14.51632,0.184022302,0.341005814,5.777463
MOAPA VALLEY NATIONAL WILDLIFE REFUGE  ,39.00947,74.46728,2.701777,12.52757,4.749974,10.48076,-0.999046178,-0.970149506,6.502366
MODOC NATIONAL WILDLIFE REFUGE  ,102.3,141.7667,44.74136,89.11013,71.71599,26.63557,-0.057516998,0.420541246,11.12786
MONOMOY NATIONAL WILDLIFE REFUGE  ,93.72593,129.8778,3.025402,1.083654,5.720848,0.2339455,-1.187353252,-0.922237367,9.112094
MONTE VISTA NATIONAL WILDLIFE REFUGE  ,117.6654,153.699,4.135469,3.742247,4.620423,5.591297,-0.56807171,-0.622018528,7.164619
MONTEZUMA NATIONAL WILDLIFE REFUGE  ,103.5518,133.6879,1.083654,1.083654,0.2339455,0.2339455,-0.940860228,-0.744560418,8.051055
MOODY NATIONAL WILDLIFE REFUGE  ,20.86443,43.204,23.67021,44.40243,34.25314,32.0284,-0.208825275,-0.089895815,4.750817
MOOSEHORN NATIONAL WILDLIFE REFUGE  ,115.2934,147.314,1.083654,3.453421,0.2339455,3.64955,-0.872016058,-0.55745472,6.461031
MORGAN BRAKE NATIONAL WILDLIFE REFUGE  ,39.89737,70.48601,67.79929,43.2169,18.39981,24.24845,0.426067082,-0.076121806,9.071645
MORTENSON LAKE NATIONAL WILDLIFE REFUGE  ,116.1864,152.4343,6.01395,9.163829,4.987693,14.32916,-0.563127093,-0.425539205,10.01934
MOUNTAIN BOGS NATIONAL WILDLIFE REFUGE  ,69.92593,104.6,22.584,1.083654,6.493371,0.2339455,-0.356633069,-0.901235173,7.468313
MOUNTAIN LONGLEAF NATIONAL WILDLIFE REFUGE  ,41.75414,74.27131,60.11896,28.19332,22.68102,23.40625,0.164476889,-0.29915178,9.495246
MULESHOE NATIONAL WILDLIFE REFUGE  ,48.04876,81.76421,10.46671,2.158923,17.97871,3.330201,-0.428517906,-0.960042062,8.319944
MUSCATATUCK NATIONAL WILDLIFE REFUGE  ,77.6905,106.7689,8.192956,1.083654,11.41654,0.2339455,-0.689212805,-1.068517823,7.407195
NANSEMOND NATIONAL WILDLIFE REFUGE  ,51.52276,88.19907,24.93809,10.89679,44.2274,25.97965,-0.314983383,-0.483574994,11.55462
NANTUCKET NATIONAL WILDLIFE REFUGE  ,93.72593,129.8778,3.025402,1.083654,5.720848,0.2339455,-1.187353252,-0.922237367,9.112094
NATIONAL BISON RANGE  ,113.6906,149.4919,27.39975,48.02272,31.35121,20.1661,-0.290539745,-0.032835151,8.606811
NATIONAL ELK REFUGE  ,133.4737,170.3259,80.92351,88.05134,20.05441,9.948846,0.296886906,0.284431971,9.382491
NATIONAL KEY DEER REFUGE  ,12.08889,25.72778,60.42581,56.96606,24.11978,30.64686,0.027691883,0.065224326,3.273226
NAVASSA ISLAND NATIONAL WILDLIFE REFUGE  ,5.412963,14.89815,15.20294,15.95458,15.83811,14.86724,-0.084689999,-0.14119521,0.5723255
NEAL SMITH NATIONAL WILDLIFE REFUGE  ,90.7996,117.6401,3.234192,1.083654,6.556008,0.2339455,-0.957206945,-0.937634854,7.640004
NECEDAH NATIONAL WILDLIFE REFUGE  ,103.084,131.1214,1.407279,1.083654,0.8664788,0.2339455,-1.092044069,-0.684661276,9.442456
NECHES RIVER NATIONAL WILDLIFE REFUGE  ,31.60116,60.0085,47.01784,29.33391,34.62783,41.58381,-0.038537957,-0.252057675,7.108276
NESTUCCA BAY NATIONAL WILDLIFE REFUGE  ,48.02605,100.2375,4.825901,17.94915,5.357352,19.21862,-1.714706383,-1.174183454,10.03257
NINIGRET NATIONAL WILDLIFE REFUGE  ,97.17548,128.2433,4.3199,1.083654,9.604343,0.2339455,-0.792369275,-0.792348961,7.529696
NOMANS LAND ISLAND NATIONAL WILDLIFE REFUGE  ,94.42124,129.5556,3.025402,1.083654,5.720848,0.2339455,-1.107845734,-0.896235139,8.793473
NORTH PLATTE NATIONAL WILDLIFE REFUGE  ,92.59065,131.4151,4.502277,15.05125,4.386478,16.1679,-1.16620291,-0.415274267,8.417287
NORTHERN TALLGRASS PRAIRIE NATIONAL WILDLIFE REFUGE  ,104.7003,131.756,1.083654,4.30946,0.2339455,9.781814,-0.814053249,-0.674187399,9.192334
NOWITNA NATIONAL WILDLIFE REFUGE  ,130.9781,155.346,1.48526,1.407279,1.438765,0.8664788,-0.892913397,-0.912719309,5.868283
OAHU FOREST NATIONAL WILDLIFE REFUGE  ,10.13715,21.88184,19.78952,13.44356,8.122814,6.490478,-0.065533912,-0.138755199,0.9093334
OCCOQUAN BAY NATIONAL WILDLIFE REFUGE  ,68.37952,101.4669,15.90507,3.453421,26.24868,3.64955,-0.534683409,-0.734774356,8.937774
OHIO RIVER ISLANDS NATIONAL WILDLIFE REFUGE  ,80.8897,111.1263,20.94609,1.083654,18.31844,0.2339455,-0.311619879,-0.864053661,7.105864
OKEFENOKEE NATIONAL WILDLIFE REFUGE  ,26.65112,52.56439,64.13502,68.78693,10.63282,23.28009,0.182913166,0.315556044,4.94447
OPTIMA NATIONAL WILDLIFE REFUGE  ,62.7847,97.11872,12.55604,1.083654,19.68651,0.2339455,-0.590316102,-0.916504682,9.663961
OREGON ISLANDS NATIONAL WILDLIFE REFUGE  ,37.39713,83.14457,2.771374,17.38827,2.678676,14.86724,-1.157159571,-1.179856023,5.974144
OTTAWA NATIONAL WILDLIFE REFUGE  ,92.33745,122.4373,3.164595,1.083654,4.171525,0.2339455,-0.874409321,-0.896696528,7.857118
OURAY NATIONAL WILDLIFE REFUGE  ,103.0784,138.3372,8.123359,57.15175,13.35829,35.46614,-0.736063869,0.054777609,9.502887
OVERFLOW NATIONAL WILDLIFE REFUGE  ,38.29729,68.62261,67.47567,49.08835,17.42894,20.43514,0.389862501,0.009367282,8.87856
OXBOW NATIONAL WILDLIFE REFUGE  ,103.1266,131.2613,2.054528,1.083654,2.808226,0.2339455,-0.711560525,-0.730896305,7.064419
OYSTER BAY NATIONAL WILDLIFE REFUGE  ,87.08221,120.0203,4.10067,1.083654,5.591297,0.2339455,-1.034375221,-0.963273621,9.159838
OZARK CAVEFISH NATIONAL WILDLIFE REFUGE  ,61.82237,94.29606,17.46323,3.592615,32.77576,7.631277,-0.580989896,-0.696608986,10.7877
OZARK PLATEAU NATIONAL WILDLIFE REFUGE  ,55.32178,87.47096,20.90827,5.349931,36.65926,11.69841,-0.467076715,-0.757713515,10.40371
PAHRANAGAT NATIONAL WILDLIFE REFUGE  ,69.75162,107.6973,9.600234,10.81675,12.15347,18.21266,-1.307198024,-0.841081408,8.69228
