NWR,FLI (Day),FBI (Day),FLI (%),FBI (%),FLIDELTA,FBIDELTA,FLI_102030_avg_rate,FBI_102030_avg_rate,"FLI SD, AVG"
BECHAROF NATIONAL WILDLIFE REFUGE  ,133.9074,168.9847,11.51226,11.50387,11.99499,9.041993,-0.835189704,-0.817103819,6.59181
BENTON LAKE NATIONAL WILDLIFE REFUGE  ,103.2314,142.4252,12.77116,38.91201,16.55655,34.3549,-0.91144695,-0.141944669,9.987934
BIG BOGGY NATIONAL WILDLIFE REFUGE  ,17.58892,36.80326,18.95709,28.4466,36.27413,39.38825,-0.259669568,-0.225303447,4.316092
BIG BRANCH MARSH NATIONAL WILDLIFE REFUGE  ,25.62279,51.48983,55.19374,62.01421,13.64443,19.80349,0.081702891,0.241481829,5.851379
BIG LAKE NATIONAL WILDLIFE REFUGE  ,54.10071,86.49227,40.94189,4.95671,17.72137,9.547869,-0.177689007,-0.499113584,10.68529
BIG MUDDY NATIONAL FISH AND WILDLIFE REFUGE  ,74.69662,103.92,11.5336,1.083654,18.21266,0.2339455,-0.716611521,-0.910089457,8.164916
BIG OAKS NATIONAL WILDLIFE REFUGE  ,76.12775,105.8088,12.11125,1.083654,22.09615,0.2339455,-0.59423024,-1.022969073,7.56084
BIG STONE NATIONAL WILDLIFE REFUGE  ,105.7544,132.1584,1.083654,4.352644,0.2339455,8.706546,-0.733022218,-0.671362267,9.171353
BILL WILLIAMS RIVER NATIONAL WILDLIFE REFUGE  ,29.0105,57.04415,5.079929,11.0507,8.529074,11.68558,-0.551078156,-0.676254738,4.085106
BILLY FRANK JR. NISQUALLY NATIONAL WILDLIFE REFUGE  ,58.75016,112.2479,5.935969,19.39962,6.192512,18.75073,-2.06306252,-1.049371853,11.60335
BITTER CREEK NATIONAL WILDLIFE REFUGE  ,28.63887,59.25465,1.083654,11.63468,0.2339455,7.824848,-0.586954407,-0.966689084,3.831936
BITTER LAKE NATIONAL WILDLIFE REFUGE  ,46.11482,80.61852,10.55308,3.138182,15.56907,2.703831,-0.697427681,-1.237915478,8.225581
BLACK BAYOU LAKE NATIONAL WILDLIFE REFUGE  ,34.67837,64.27628,67.79929,56.15115,18.39981,23.38285,0.384985154,0.136467659,8.166819
BLACK COULEE NATIONAL WILDLIFE REFUGE  ,105.5287,139.1763,12.6152,33.77087,18.96619,27.79272,-0.965460462,-0.24030464,8.448528
BLACKBEARD ISLAND NATIONAL WILDLIFE REFUGE  ,27.96667,55.62222,60.11234,67.94054,6.117549,24.459,0.186796581,0.308475677,4.899456
BLACKWATER NATIONAL WILDLIFE REFUGE  ,69.4924,103.7632,12.01524,3.672651,24.77483,7.662595,-0.641935953,-0.737254043,9.964582
BLOCK ISLAND NATIONAL WILDLIFE REFUGE  ,97.16667,128.2833,4.3199,1.083654,9.604343,0.2339455,-0.793912104,-0.793547613,7.535414
BLUE RIDGE NATIONAL WILDLIFE REFUGE  ,65.02725,103.0622,14.74137,18.52681,18.71564,23.10212,-0.981074286,-0.614251548,6.091786
BOGUE CHITTO NATIONAL WILDLIFE REFUGE  ,25.92036,51.98731,55.02939,62.73106,14.68008,19.80349,0.101862757,0.259298802,5.917704
BOMBAY HOOK NATIONAL WILDLIFE REFUGE  ,78.02143,109.8981,8.666213,1.407279,18.21266,0.8664788,-0.733402443,-0.808908794,7.514412
BON SECOUR NATIONAL WILDLIFE REFUGE  ,25.50944,51.07198,62.29973,67.15204,13.88454,16.45807,0.164027805,0.348533148,5.297778
BOND SWAMP NATIONAL WILDLIFE REFUGE  ,34.66261,63.88376,68.55093,52.28979,17.42894,31.11475,0.406861775,0.110037347,6.438211
BOSQUE DEL APACHE NATIONAL WILDLIFE REFUGE  ,57.39528,94.7122,6.975181,2.054528,11.54609,2.808226,-0.950573781,-1.209780678,9.214091
BOWDOIN NATIONAL WILDLIFE REFUGE  ,105.37,137.9521,12.97362,30.82345,20.04146,21.84221,-0.914192739,-0.270252387,8.268704
BOYER CHUTE NATIONAL WILDLIFE REFUGE  ,89.7068,117.1182,5.857987,1.083654,7.397331,0.2339455,-0.954087905,-0.861567523,8.309403
BRAZORIA NATIONAL WILDLIFE REFUGE  ,21.47324,43.12752,29.52694,43.41479,41.35251,22.87295,-0.142332969,-0.11076789,4.877554
BRETON NATIONAL WILDLIFE REFUGE  ,22.04706,44.94557,44.48138,56.59263,11.03053,11.3895,-0.042591618,0.102373735,4.89655
BROWNS PARK NATIONAL WILDLIFE REFUGE  ,104.9741,140.4618,7.230467,55.67282,8.269973,28.242,-0.747392828,0.022519295,9.455993
BUCK ISLAND NATIONAL WILDLIFE REFUGE  ,6.72963,16.77592,9.1806,8.174927,13.86127,11.91952,-0.147979154,-0.246963579,0.5716105
BUENOS AIRES NATIONAL WILDLIFE REFUGE  ,28.58903,57.78172,6.00762,16.11054,12.38741,10.51585,-0.369888628,-0.544020348,4.161924
BUFFALO LAKE NATIONAL WILDLIFE REFUGE  ,72.53822,104.7703,3.881441,2.158923,6.322062,3.330201,-0.593641171,-0.813507046,8.82807
CABEZA PRIETA NATIONAL WILDLIFE REFUGE  ,23.84377,45.64849,9.018012,8.486855,11.10247,6.274141,-0.330442453,-0.499286813,3.230046
CABO ROJO NATIONAL WILDLIFE REFUGE  ,7.101993,17.30534,9.547408,6.923613,13.62732,7.34941,-0.105336172,-0.188516256,0.4917016
