,FLI (10 Year),FLI (20 Year),FLI (30 Year),FBI (10 Year),FBI (20 Year),FBI (30 Year),FLI10 (%),FLI20 (%),FLI30 (%),FBI10 (%),FBI20 (%),FBI30 (%)
GREEN BAY NATIONAL WILDLIFE REFUGE  ,110.1546,113.7476,114.7447,145.8145,146.653,146.232,0.9708738,1.075269,1.204819,11.65049,15.05376,1.204819
GREEN CAY NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN 
GRULLA NATIONAL WILDLIFE REFUGE  ,51.77747,51.94282,52.36745,85.89654,87.0807,88.58383,12.62136,5.376344,3.614458,0.9708738,1.075269,1.204819
GUADALUPE-NIPOMO DUNES NATIONAL WILDLIFE REFUGE  ,25.62315,26.35529,26.60188,52.12944,53.07597,53.39212,0.9708738,2.150538,1.204819,1.941748,3.225806,2.409639
HACKMATACK NATIONAL WILDLIFE REFUGE  ,93.93333,95.58333,96.03333,121.6,124.35,125.0111,2.912621,1.075269,1.204819,0.9708738,1.075269,1.204819
HAGERMAN NATIONAL WILDLIFE REFUGE  ,42.19947,39.55382,39.39802,71.09439,70.75752,70.35574,77.6699,50.53763,32.53012,36.8932,16.12903,1.204819
HAILSTONE NATIONAL WILDLIFE REFUGE  ,104.7829,106.6372,105.6517,145.4362,145.5572,144.2772,6.796117,19.35484,2.409639,42.71845,48.3871,13.25301
HAKALAU FOREST NATIONAL WILDLIFE REFUGE  ,15.37508,15.59803,15.67085,30.04411,30.43148,30.59002,3.883495,1.075269,8.433735,2.912621,1.075269,3.614458
HALFBREED LAKE NATIONAL WILDLIFE REFUGE  ,104.4726,106.4353,105.5037,145.1277,145.2863,144.04,6.796117,19.35484,2.409639,39.80583,48.3871,12.04819
HAMDEN SLOUGH NATIONAL WILDLIFE REFUGE  ,107.4755,111.2807,111.1685,136.9877,138.5853,137.8532,0.9708738,1.075269,1.204819,9.708738,22.58065,6.024096
HANALEI NATIONAL WILDLIFE REFUGE  ,10.3,10.35,10.2,22.23333,22.35,22.18889,25.24272,26.88172,14.45783,19.41748,22.58065,12.04819
HANDY BRAKE NATIONAL WILDLIFE REFUGE  ,37.15357,34.35469,35.15515,66.59468,64.39306,64.54192,80.58252,64.51613,60.24096,66.99029,53.76344,44.57831
HARBOR ISLAND NATIONAL WILDLIFE REFUGE  ,113.7667,117.3397,117.9016,147.3783,148.2291,147.911,0.9708738,1.075269,1.204819,9.708738,17.2043,3.614458
HARRIS NECK NATIONAL WILDLIFE REFUGE  ,28,27.83333,28.06667,57.26667,54.96667,54.63333,63.1068,56.98925,60.24096,83.49515,61.29032,59.03614
HART MOUNTAIN NATIONAL ANTELOPE REFUGE  ,109.4467,106.0858,104.1971,147.0367,145.6665,143.8089,94.17476,46.23656,18.07229,98.05825,94.62366,65.06024
HATCHIE NATIONAL WILDLIFE REFUGE  ,52.5516,51.32529,50.93836,84.11501,85.1532,84.83544,62.13592,49.46237,38.55422,13.59223,17.2043,6.024096
HAVASU NATIONAL WILDLIFE REFUGE  ,27.22373,26.89823,27.63812,52.93572,52.34453,52.84289,9.708738,1.075269,2.409639,15.53398,8.602151,4.819277
HAWAIIAN ISLANDS NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN 
HEWITT LAKE NATIONAL WILDLIFE REFUGE  ,104.4716,106.5511,105.0455,137.8887,138.384,137.26,11.65049,23.65591,3.614458,36.8932,38.70968,16.86747
HILLSIDE NATIONAL WILDLIFE REFUGE  ,39.73934,37.23751,37.81576,69.61007,68.14741,68.28355,77.6699,63.44086,60.24096,59.2233,49.46237,40.96386
HOBART LAKE NATIONAL WILDLIFE REFUGE  ,107.1516,110.7469,110.3327,136.6961,138.0663,137.3265,0.9708738,3.225806,1.204819,12.62136,23.65591,10.84337
HOBE SOUND NATIONAL WILDLIFE REFUGE  ,15.05418,14.58612,14.62802,30.44794,29.63891,29.77618,68.93204,49.46237,50.60241,62.13592,37.63441,31.3253
HOLLA BEND NATIONAL WILDLIFE REFUGE  ,51.19983,50.58169,50.04859,82.47359,83.99028,83.388,51.45631,39.78495,19.27711,4.854369,13.97849,1.204819
HOLT COLLIER NATIONAL WILDLIFE REFUGE  ,41.58239,38.76149,39.1374,71.15734,69.80482,69.86673,78.64078,64.51613,60.24096,58.25243,46.23656,32.53012
HOPPER MOUNTAIN NATIONAL WILDLIFE REFUGE  ,30.10604,30.61213,30.79996,64.06339,64.21843,63.53723,1.941748,2.150538,1.204819,19.41748,21.50538,8.433735
HORICON NATIONAL WILDLIFE REFUGE  ,98.45714,100.9254,102,127.3889,129.854,130.173,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
HOWLAND ISLAND NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN 
HULEIA NATIONAL WILDLIFE REFUGE  ,10.3,10.35,10.2,22.23333,22.35,22.18889,25.24272,26.88172,14.45783,19.41748,22.58065,12.04819
HUMBOLDT BAY NATIONAL WILDLIFE REFUGE  ,34.3841,35.20579,35.42585,72.54196,72.04547,71.57248,0.9708738,1.075269,1.204819,26.21359,19.35484,9.638554
HURON NATIONAL WILDLIFE REFUGE  ,111.4591,115.9124,116.3301,146.7649,147.5839,146.8191,0.9708738,1.075269,1.204819,13.59223,23.65591,2.409639
HUTTON LAKE NATIONAL WILDLIFE REFUGE  ,114.4935,116.0207,115.9494,151.4464,152.0974,151.6845,5.825243,7.526882,3.614458,14.56311,10.75269,1.204819
IMPERIAL NATIONAL WILDLIFE REFUGE  ,24.18575,23.98598,24.32623,45.69984,45.74414,46.21547,13.59223,3.225806,8.433735,5.825243,3.225806,2.409639
INNOKO NATIONAL WILDLIFE REFUGE  ,132.315,133.5395,135.0248,157.8109,158.7948,160.1334,0.9708738,1.075269,4.819277,1.941748,1.075269,2.409639
IROQUOIS NATIONAL WILDLIFE REFUGE  ,102.5173,104.1798,105.1936,134.0595,135.939,136.3582,0.9708738,1.075269,1.204819,0.9708738,1.075269,1.204819
ISLAND BAY NATIONAL WILDLIFE REFUGE  ,13.32784,13.02219,12.99452,27.96579,27.39303,27.35471,58.25243,36.55914,31.3253,61.16505,41.93548,30.12048
IZEMBEK NATIONAL WILDLIFE REFUGE  ,144.0283,143.7521,144.8117,187.5588,185.7548,186.4315,25.24272,11.82796,12.04819,41.74757,18.27957,13.25301
J. CLARK SALYER NATIONAL WILDLIFE REFUGE  ,110.033,114.3242,113.7328,141.2518,142.2901,141.6136,0.9708738,5.376344,1.204819,13.59223,23.65591,8.433735
J. N. DING DARLING NATIONAL WILDLIFE REFUGE  ,13.56438,13.22518,13.15633,28.21749,27.63266,27.56117,63.1068,43.01075,32.53012,63.1068,44.08602,31.3253
JAMES CAMPBELL NATIONAL WILDLIFE REFUGE  ,10.07227,10.17365,10.0843,21.75006,21.9334,21.84544,20.38835,22.58065,12.04819,14.56311,16.12903,9.638554
JAMES RIVER NATIONAL WILDLIFE REFUGE  ,58.42984,57.14718,57.67862,93.22751,93.42206,93.81321,33.00971,9.677419,7.228916,13.59223,4.301075,1.204819
JARVIS ISLAND NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN 
JOHN H. CHAFEE NATIONAL WILDLIFE REFUGE  ,97.36667,96.76667,97.36667,127.5,128.1167,129.2333,10.67961,1.075269,1.204819,0.9708738,1.075269,1.204819
JOHN HAY NATIONAL WILDLIFE REFUGE  ,107.0675,108.9425,109.9389,137.2075,138.6667,138.9611,0.9708738,1.075269,1.204819,0.9708738,1.075269,1.204819
JOHN HEINZ NATIONAL WILDLIFE REFUGE AT TINICUM  ,80.80518,81.07965,81.07598,111.4552,112.0452,113.116,8.737864,5.376344,1.204819,0.9708738,1.075269,1.204819
JOHN W. AND LOUISE SEIER NATIONAL WILDLIFE REFUGE  ,91.7628,92.88765,93.54419,121.5717,125.2519,125.1569,3.883495,5.376344,1.204819,0.9708738,8.602151,1.204819
JOHNSON LAKE NATIONAL WILDLIFE REFUGE  ,107.9333,112.5833,112.0778,138.8333,140.1833,139.3333,0.9708738,1.075269,1.204819,12.62136,24.73118,7.228916
JOHNSTON ATOLL NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN 
JULIA BUTLER HANSEN REFUGE FOR THE COLUMBIAN WHITE-TAILED DEER  ,53.32529,54.16429,54.81047,108.5998,108.1541,106.0525,9.708738,7.526882,4.819277,24.27184,22.58065,7.228916
KAKAHAIA NATIONAL WILDLIFE REFUGE  ,10.36179,10.40468,10.3454,22.15855,22.33395,22.26383,25.24272,24.73118,14.45783,14.56311,18.27957,9.638554
KANKAKEE NATIONAL WILDLIFE REFUGE AND CONSERVATION AREA  ,86.97288,88.94413,88.64308,113.0453,116.5301,117.6584,0.9708738,3.225806,1.204819,0.9708738,1.075269,1.204819
KANUTI NATIONAL WILDLIFE REFUGE  ,134.2397,135.3524,136.4741,156.9609,158.2857,159.2219,2.912621,2.150538,3.614458,0.9708738,1.075269,1.204819
KARL E. MUNDT NATIONAL WILDLIFE REFUGE  ,93.48503,95.26884,95.83896,121.6946,125.3585,125.253,1.941748,4.301075,1.204819,0.9708738,7.526882,2.409639
KEALIA POND NATIONAL WILDLIFE REFUGE  ,10.46667,10.48333,10.44444,22.33333,22.5,22.44444,28.15534,25.80645,15.66265,16.50485,16.12903,10.84337
KELLYS SLOUGH NATIONAL WILDLIFE REFUGE  ,109.1224,113.1287,112.8371,139.0312,140.1288,139.4332,0.9708738,1.075269,1.204819,12.62136,22.58065,9.638554
KENAI NATIONAL WILDLIFE REFUGE  ,132.9106,132.6527,133.8873,167.5271,166.7324,168.0891,11.65049,1.075269,8.433735,16.50485,8.602151,7.228916
KERN NATIONAL WILDLIFE REFUGE  ,29.13093,29.5691,30.05657,60.41158,59.93392,59.8364,1.941748,1.075269,2.409639,22.3301,18.27957,8.433735
KEY CAVE NATIONAL WILDLIFE REFUGE  ,47.70545,45.47561,45.2269,79.44314,79.02206,78.92252,67.96117,47.31183,36.14458,27.18447,20.43011,2.409639
KEY WEST NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN 
KILAUEA POINT NATIONAL WILDLIFE REFUGE  ,10.3,10.35,10.2,22.23333,22.35,22.18889,25.24272,26.88172,14.45783,19.41748,22.58065,12.04819
KINGMAN REEF NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN 
KIRWIN NATIONAL WILDLIFE REFUGE  ,76.24978,78.32279,77.20339,107.9653,110.9843,110.9479,6.796117,13.97849,1.204819,0.9708738,7.526882,1.204819
KLAMATH MARSH NATIONAL WILDLIFE REFUGE  ,110.9459,108.0042,105.8118,151.55,149.8679,148.0878,93.20388,60.21505,13.25301,99.02913,97.84946,72.28916
KODIAK NATIONAL WILDLIFE REFUGE  ,128.7026,128.0236,129.2542,168.9015,167.488,168.6965,26.21359,7.526882,10.84337,16.50485,8.602151,9.638554
KOFA NATIONAL WILDLIFE REFUGE  ,24.88557,24.66938,25.00557,47.65403,47.47354,47.88433,12.62136,3.225806,6.024096,8.737864,5.376344,4.819277
KOOTENAI NATIONAL WILDLIFE REFUGE  ,113.0058,113.1093,111.8203,146.7953,146.0766,145.8008,42.71845,38.70968,8.433735,53.39806,47.31183,38.55422
KOYUKUK NATIONAL WILDLIFE REFUGE  ,135.7212,136.7953,137.9278,159.1458,160.249,161.2771,3.883495,1.075269,9.638554,1.941748,1.075269,1.204819
LACASSINE NATIONAL WILDLIFE REFUGE  ,23.26428,22.72071,24.30469,48.20275,46.79772,47.7179,44.66019,26.88172,48.19277,64.07767,48.3871,45.78313
LACREEK NATIONAL WILDLIFE REFUGE  ,92.03209,93.22424,94.16976,126.2745,129.2148,129.0393,3.883495,5.376344,1.204819,0.9708738,16.12903,8.433735
LAGUNA ATASCOSA NATIONAL WILDLIFE REFUGE  ,16.196,15.60713,17.30582,33.81333,32.50626,34.40493,23.30097,1.075269,28.91566,33.00971,2.150538,28.91566
LAGUNA CARTAGENA NATIONAL WILDLIFE REFUGE  ,7.28068,7.170786,7.240751,17.49575,17.47909,17.58551,18.4466,5.376344,4.819277,10.67961,4.301075,4.819277
LAKE ALICE NATIONAL WILDLIFE REFUGE  ,111.6577,115.6597,115.0782,142.1167,143.1045,142.2915,0.9708738,9.677419,1.204819,13.59223,24.73118,10.84337
LAKE ANDES NATIONAL WILDLIFE REFUGE  ,94.37484,96.41289,97.09247,122.5315,126.1742,126.1111,1.941748,2.150538,1.204819,0.9708738,6.451613,1.204819
LAKE GEORGE NATIONAL WILDLIFE REFUGE  ,106.2888,110.5954,110.085,137.1595,138.5919,137.9013,0.9708738,5.376344,1.204819,12.62136,24.73118,13.25301
LAKE ILO NATIONAL WILDLIFE REFUGE  ,105.0886,109.1855,108.3806,138.7687,140.1278,139.157,0.9708738,10.75269,1.204819,12.62136,25.80645,8.433735
LAKE ISOM NATIONAL WILDLIFE REFUGE  ,59.46667,58.13333,58.64444,89.3,90.95,90.54444,40.7767,29.03226,28.91566,2.912621,10.75269,1.204819
LAKE MASON NATIONAL WILDLIFE REFUGE  ,98.94652,100.4187,99.31499,137.6887,138.3091,137.01,10.67961,19.35484,4.819277,41.74757,49.46237,15.66265
LAKE NETTIE NATIONAL WILDLIFE REFUGE  ,107.2502,111.4088,110.6337,138.6664,139.9914,139.1941,0.9708738,8.602151,1.204819,12.62136,24.73118,8.433735
LAKE OPHELIA NATIONAL WILDLIFE REFUGE  ,30.33362,28.80418,30.06792,58.66999,56.37279,56.76466,68.93204,60.21505,63.85542,72.81553,61.29032,53.01205
LAKE THIBADEAU NATIONAL WILDLIFE REFUGE  ,106.343,107.698,106.3618,142.2427,141.8414,140.5072,13.59223,22.58065,3.614458,60.19417,47.31183,19.27711
LAKE WALES RIDGE NATIONAL WILDLIFE REFUGE  ,18.37767,17.63009,17.98336,36.06524,35.1929,35.6052,53.39806,18.27957,28.91566,54.36893,18.27957,28.91566
LAKE WOODRUFF NATIONAL WILDLIFE REFUGE  ,20.27962,19.7275,20.15679,40.61338,39.64045,40.15426,52.42718,23.65591,33.73494,59.2233,37.63441,42.16867
LAKE ZAHL NATIONAL WILDLIFE REFUGE  ,108.0026,111.8911,110.9651,140.767,141.8274,140.8621,0.9708738,10.75269,1.204819,16.50485,24.73118,8.433735
LAS VEGAS NATIONAL WILDLIFE REFUGE  ,82.7098,81.59114,83.16672,120.0089,120.9153,121.5746,14.56311,1.075269,1.204819,2.912621,1.075269,1.204819
LEE METCALF NATIONAL WILDLIFE REFUGE  ,121.3284,122.1509,120.2531,159.9681,158.2656,156.9421,56.31068,78.49462,45.78313,90.29126,87.09677,60.24096
LESLIE CANYON NATIONAL WILDLIFE REFUGE  ,35.5,34.96667,36.23333,71.63333,71.01667,72.22222,10.67961,1.075269,4.819277,9.708738,1.075269,4.819277
LEWIS AND CLARK NATIONAL WILDLIFE REFUGE  ,48.26251,49.15727,50.04678,104.0376,103.6843,101.6513,8.737864,4.301075,2.409639,24.27184,22.58065,7.228916
LITTLE GOOSE NATIONAL WILDLIFE REFUGE  ,108.9897,113.103,112.7617,139.0874,140.2348,139.5155,0.9708738,1.075269,1.204819,12.62136,22.58065,8.433735
LITTLE PEND OREILLE NATIONAL WILDLIFE REFUGE  ,108.6457,107.6597,106.1289,140.683,140.2809,139.7319,58.25243,36.55914,8.433735,57.28155,54.83871,42.16867
LITTLE RIVER NATIONAL WILDLIFE REFUGE  ,41.82533,38.99474,39.22995,71.37554,70.7946,70.56967,77.6699,40.86022,32.53012,35.92233,15.05376,1.204819
LITTLE SANDY NATIONAL WILDLIFE REFUGE  ,36.33352,34.15619,34.61834,65.4699,64.15771,63.96984,73.78641,35.48387,36.14458,42.71845,21.50538,7.228916
LOGAN CAVE NATIONAL WILDLIFE REFUGE  ,57.38082,56.7131,56.14139,87.80327,89.85599,89.27733,33.00971,22.58065,1.204819,1.941748,13.97849,1.204819
LONG LAKE NATIONAL WILDLIFE REFUGE  ,104.9618,108.6708,108.3704,136.1871,137.6488,136.9807,0.9708738,4.301075,1.204819,12.62136,24.73118,13.25301
LOST TRAIL NATIONAL WILDLIFE REFUGE  ,117.5792,118.1845,116.8593,153.5708,152.5892,151.9012,39.80583,41.93548,10.84337,55.33981,50.53763,37.3494
LOSTWOOD NATIONAL WILDLIFE REFUGE  ,109.7986,114.1307,113.1753,142.1268,143.1267,142.1718,0.9708738,11.82796,1.204819,14.56311,24.73118,10.84337
LOWER HATCHIE NATIONAL WILDLIFE REFUGE  ,52.47518,51.39111,50.96989,83.90989,85.03216,84.64944,62.13592,48.3871,37.3494,14.56311,18.27957,2.409639
LOWER KLAMATH NATIONAL WILDLIFE REFUGE  ,101.8923,98.79696,97.32913,144.0905,142.5715,140.4356,71.84466,23.65591,10.84337,99.02913,98.92473,73.49398
LOWER RIO GRANDE VALLEY NATIONAL WILDLIFE REFUGE  ,16.75232,16.35998,18.05031,35.03061,33.96608,35.74826,16.50485,2.150538,9.638554,29.12621,2.150538,20.48193
LOWER SUWANNEE NATIONAL WILDLIFE REFUGE  ,21.65276,21.02869,21.27871,43.54438,42.0156,42.39066,68.93204,41.93548,50.60241,72.81553,52.68817,48.19277
MACKAY ISLAND NATIONAL WILDLIFE REFUGE  ,48.67386,45.90473,45.66157,85.37108,83.99372,83.99351,60.19417,32.25806,24.09639,41.74757,10.75269,1.204819
MALHEUR NATIONAL WILDLIFE REFUGE  ,108.1334,105.1843,103.4641,145.6059,144.1221,142.3759,91.26214,48.3871,18.07229,99.02913,100,74.6988
MANDALAY NATIONAL WILDLIFE REFUGE  ,21.49121,21.48693,22.73509,45.16091,44.48185,45.19369,33.00971,27.95699,45.78313,63.1068,50.53763,50.60241
MARAIS DES CYGNES NATIONAL WILDLIFE REFUGE  ,71.98275,72.24592,71.24794,99.88124,102.3061,102.5881,29.12621,25.80645,3.614458,0.9708738,3.225806,1.204819
MARIN ISLANDS NATIONAL WILDLIFE REFUGE  ,29.00661,29.41059,29.72516,59.14708,59.65046,59.51868,0.9708738,1.075269,1.204819,6.796117,11.82796,3.614458
MARTIN NATIONAL WILDLIFE REFUGE  ,59.45142,57.83479,57.96083,96.60578,96.19458,96.45107,39.80583,10.75269,6.024096,14.56311,4.301075,1.204819
MASHPEE NATIONAL WILDLIFE REFUGE  ,93.46667,93.46667,94.24444,129.0667,129.5667,131,6.796117,1.075269,1.204819,0.9708738,1.075269,1.204819
MASON NECK NATIONAL WILDLIFE REFUGE  ,68.12464,67.97752,68.0778,101.0823,101.3777,101.7324,29.12621,10.75269,4.819277,4.854369,4.301075,1.204819
MASSASOIT NATIONAL WILDLIFE REFUGE  ,94.99328,94.93221,95.61018,129.6144,130.1991,131.6379,5.825243,1.075269,1.204819,0.9708738,1.075269,1.204819
MATHEWS BRAKE NATIONAL WILDLIFE REFUGE  ,42.29063,39.41667,39.71416,71.82907,70.52918,70.57739,78.64078,64.51613,60.24096,55.33981,44.08602,28.91566
MATLACHA PASS NATIONAL WILDLIFE REFUGE  ,14.0694,13.67549,13.59822,28.89505,28.27235,28.20366,65.04854,48.3871,37.3494,63.1068,44.08602,28.91566
MATTAMUSKEET NATIONAL WILDLIFE REFUGE  ,43.71827,41.14694,40.85288,78.82225,76.64379,76.28686,66.01942,54.83871,33.73494,44.66019,18.27957,1.204819
MAXWELL NATIONAL WILDLIFE REFUGE  ,86.2,85.16667,87.43333,124.0667,125.15,125.5444,14.56311,1.075269,2.409639,2.912621,2.150538,1.204819
MCFADDIN NATIONAL WILDLIFE REFUGE  ,20.41824,20.09675,21.61484,43.50209,42.30613,43.35033,25.24272,2.150538,39.75904,62.13592,33.33333,40.96386
MCKAY CREEK NATIONAL WILDLIFE REFUGE  ,92.77226,92.92725,90.93393,132.6006,131.8581,129.9234,34.95146,33.33333,13.25301,83.49515,77.41935,57.83133
MCLEAN NATIONAL WILDLIFE REFUGE  ,106.6062,110.7044,109.919,139.0771,140.4092,139.5448,0.9708738,7.526882,1.204819,13.59223,24.73118,8.433735
MCNARY NATIONAL WILDLIFE REFUGE  ,79.4361,80.52654,78.92614,118.287,118.3686,116.1724,16.50485,25.80645,8.433735,49.51456,44.08602,9.638554
MEDICINE LAKE NATIONAL WILDLIFE REFUGE  ,106.2986,110.2548,109.0628,139.4688,140.6644,139.6451,1.941748,16.12903,1.204819,16.50485,31.1828,9.638554
MERCED NATIONAL WILDLIFE REFUGE  ,32.66908,33.07256,34.24296,69.84389,69.80642,69.20975,3.883495,1.075269,1.204819,18.4466,20.43011,8.433735
MEREDOSIA NATIONAL WILDLIFE REFUGE  ,80.35143,81.34454,80.78597,106.1043,108.9371,109.6686,5.825243,12.90323,1.204819,0.9708738,1.075269,1.204819
MERRITT ISLAND NATIONAL WILDLIFE REFUGE  ,15.7233,15.07286,15.28264,31.75542,30.8225,31.23322,64.07767,35.48387,48.19277,60.19417,34.4086,33.73494
MICHIGAN ISLANDS NATIONAL WILDLIFE REFUGE  ,107.907,111.2027,112.297,142.2734,143.5159,143.2779,0.9708738,1.075269,1.204819,5.825243,6.451613,1.204819
MIDDLE MISSISSIPPI RIVER NATIONAL WILDLIFE REFUGE  ,69.58769,68.54014,68.69078,97.64826,99.68262,100.281,32.03883,11.82796,1.204819,0.9708738,1.075269,1.204819
MIDWAY ATOLL NATIONAL WILDLIFE REFUGE  ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN ,NaN 
MILLE LACS NATIONAL WILDLIFE REFUGE  ,106.2226,109.8711,110.405,136.9456,138.629,138.1008,0.9708738,1.075269,1.204819,6.796117,19.35484,1.204819
MINGO NATIONAL WILDLIFE REFUGE  ,63.24354,61.94794,62.32584,92.47427,94.34148,94.46297,37.86408,13.97849,6.024096,0.9708738,6.451613,1.204819
MINIDOKA NATIONAL WILDLIFE REFUGE  ,103.9832,103.525,102.6464,140.1379,139.2067,137.7052,27.18447,19.35484,7.228916,85.43689,82.7957,59.03614
MINNESOTA VALLEY NATIONAL WILDLIFE REFUGE  ,102.1672,104.5177,105.1942,129.1647,131.6403,131.5319,1.941748,1.075269,1.204819,0.9708738,2.150538,1.204819
MISSISQUOI NATIONAL WILDLIFE REFUGE  ,112.3107,113.9929,114.5069,141.3689,142.4981,142.4417,0.9708738,1.075269,2.409639,1.941748,8.602151,4.819277
MISSISSIPPI SANDHILL CRANE NATIONAL WILDLIFE REFUGE  ,26.20388,25.50116,25.97106,52.55038,51.07597,50.94108,69.90291,56.98925,60.24096,74.75728,64.51613,60.24096
MOAPA VALLEY NATIONAL WILDLIFE REFUGE  ,38.42506,38.54118,40.06217,74.81326,74.2059,74.38269,5.825243,1.075269,1.204819,16.50485,15.05376,6.024096
MODOC NATIONAL WILDLIFE REFUGE  ,104.9667,101.7333,100.2,143.0333,142.1,140.1667,87.37864,31.1828,15.66265,96.1165,98.92473,72.28916
MONOMOY NATIONAL WILDLIFE REFUGE  ,93.46667,93.46667,94.24444,129.0667,129.5667,131,6.796117,1.075269,1.204819,0.9708738,1.075269,1.204819
MONTE VISTA NATIONAL WILDLIFE REFUGE  ,116.9536,117.9749,118.0677,153.203,153.7114,154.1825,5.825243,5.376344,1.204819,6.796117,3.225806,1.204819
MONTEZUMA NATIONAL WILDLIFE REFUGE  ,102.1161,104.08,104.4593,132.2069,134.2202,134.6367,0.9708738,1.075269,1.204819,0.9708738,1.075269,1.204819
MOODY NATIONAL WILDLIFE REFUGE  ,20.68558,20.21051,21.6972,43.72528,42.44285,43.44386,28.15534,4.301075,38.55422,62.13592,30.10753,40.96386
MOOSEHORN NATIONAL WILDLIFE REFUGE  ,114.5271,115.2722,116.0809,146.8934,147.5668,147.4819,0.9708738,1.075269,1.204819,4.854369,4.301075,1.204819
MORGAN BRAKE NATIONAL WILDLIFE REFUGE  ,41.53829,38.88198,39.27185,71.33212,70.02034,70.10557,78.64078,64.51613,60.24096,54.36893,45.16129,30.12048
MORTENSON LAKE NATIONAL WILDLIFE REFUGE  ,115.1746,116.7309,116.6537,152.2089,152.7615,152.3325,5.825243,8.602151,3.614458,15.53398,10.75269,1.204819
MOUNTAIN BOGS NATIONAL WILDLIFE REFUGE  ,69.26667,70.23333,70.27778,103.2,104.6,106,20.38835,26.88172,20.48193,0.9708738,1.075269,1.204819
MOUNTAIN LONGLEAF NATIONAL WILDLIFE REFUGE  ,43.00404,41.14428,41.1141,74.93205,74.09522,73.78667,70.87379,61.29032,48.19277,37.86408,32.25806,14.45783
MULESHOE NATIONAL WILDLIFE REFUGE  ,47.97368,48.00238,48.17021,80.62918,81.97161,82.69185,20.38835,8.602151,2.409639,0.9708738,4.301075,1.204819
MUSCATATUCK NATIONAL WILDLIFE REFUGE  ,77.52385,77.97184,77.57581,104.6163,107.304,108.3865,12.62136,10.75269,1.204819,0.9708738,1.075269,1.204819
NANSEMOND NATIONAL WILDLIFE REFUGE  ,53.33611,50.61208,50.62009,88.50312,87.88286,88.21124,51.45631,16.12903,7.228916,27.18447,4.301075,1.204819
NANTUCKET NATIONAL WILDLIFE REFUGE  ,93.46667,93.46667,94.24444,129.0667,129.5667,131,6.796117,1.075269,1.204819,0.9708738,1.075269,1.204819
NATIONAL BISON RANGE  ,114.0155,114.5023,112.5541,150.3654,149.4946,148.6157,33.98058,39.78495,8.433735,56.31068,51.6129,36.14458
NATIONAL ELK REFUGE  ,133.7957,134.1401,132.4854,170.9818,170.8337,169.1622,75.72816,93.54839,73.49398,82.52427,92.47312,89.15663
NATIONAL KEY DEER REFUGE  ,12.33333,12.03333,11.9,26.16667,25.58333,25.43333,69.90291,65.5914,45.78313,72.81553,55.91398,42.16867
NAVASSA ISLAND NATIONAL WILDLIFE REFUGE  ,5.5,5.35,5.388889,15.03333,14.81667,14.84444,24.27184,12.90323,8.433735,23.30097,16.12903,8.433735
NEAL SMITH NATIONAL WILDLIFE REFUGE  ,90.12695,91.25638,91.01548,115.3571,118.4785,119.0846,0.9708738,7.526882,1.204819,0.9708738,1.075269,1.204819
NECEDAH NATIONAL WILDLIFE REFUGE  ,100.9933,103.5488,104.7098,129.6306,131.8228,131.9108,1.941748,1.075269,1.204819,0.9708738,1.075269,1.204819
NECHES RIVER NATIONAL WILDLIFE REFUGE  ,32.61498,30.73579,31.4527,61.12107,59.42905,59.47537,67.96117,33.33333,39.75904,52.42718,24.73118,10.84337
NESTUCCA BAY NATIONAL WILDLIFE REFUGE  ,47.17657,47.98054,48.92104,101.2158,100.7592,98.73759,7.76699,4.301075,2.409639,25.24272,22.58065,6.024096
NINIGRET NATIONAL WILDLIFE REFUGE  ,97.37552,96.78076,97.37016,127.4613,128.0808,129.1877,10.67961,1.075269,1.204819,0.9708738,1.075269,1.204819
NOMANS LAND ISLAND NATIONAL WILDLIFE REFUGE  ,94.25479,94.13354,94.87539,128.7501,129.2736,130.643,6.796117,1.075269,1.204819,0.9708738,1.075269,1.204819
NORTH PLATTE NATIONAL WILDLIFE REFUGE  ,91.85981,92.36791,93.54422,130.535,132.0687,131.6416,6.796117,4.301075,2.409639,9.708738,25.80645,9.638554
NORTHERN TALLGRASS PRAIRIE NATIONAL WILDLIFE REFUGE  ,102.7057,105.5541,105.841,130.1133,132.6996,132.4552,0.9708738,1.075269,1.204819,0.9708738,10.75269,1.204819
