,FLI (10 Year),FLI (20 Year),FLI (30 Year),FBI (10 Year),FBI (20 Year),FBI (30 Year),FLI10 (%),FLI20 (%),FLI30 (%),FBI10 (%),FBI20 (%),FBI30 (%)
CAHABA RIVER NATIONAL WILDLIFE REFUGE  ,40.05312,38.41488,38.68499,70.68157,69.38662,69.35672,72.81553,62.36559,60.24096,47.57282,40.86022,22.89157
CALOOSAHATCHEE NATIONAL WILDLIFE REFUGE  ,15.95343,15.35542,15.24675,31.42279,30.65879,30.60056,76.69903,63.44086,49.39759,65.04854,43.01075,28.91566
CAMAS NATIONAL WILDLIFE REFUGE  ,117.3009,118.0458,116.6449,152.711,152.3694,150.9119,33.98058,44.08602,7.228916,76.69903,79.56989,45.78313
CAMERON PRAIRIE NATIONAL WILDLIFE REFUGE  ,21.85375,21.57708,23.14519,46.05442,44.84322,45.84454,33.00971,17.2043,45.78313,62.13592,43.01075,42.16867
CANAAN VALLEY NATIONAL WILDLIFE REFUGE  ,83.92247,85.85978,85.85164,114.8922,116.9332,118.0779,5.825243,7.526882,1.204819,0.9708738,1.075269,1.204819
CANFIELD LAKE NATIONAL WILDLIFE REFUGE  ,107.044,111.2636,110.5111,138.237,139.5551,138.7499,0.9708738,8.602151,1.204819,12.62136,25.80645,9.638554
CAPE MAY NATIONAL WILDLIFE REFUGE  ,76.40074,75.97996,75.64247,109.6944,109.9262,110.8909,30.09709,9.677419,1.204819,2.912621,1.075269,1.204819
CAPE MEARES NATIONAL WILDLIFE REFUGE  ,51,51.65,52.7,107.3667,106.6667,104.4,9.708738,4.301075,4.819277,27.18447,22.58065,7.228916
CAPE ROMAIN NATIONAL WILDLIFE REFUGE  ,29.10313,28.95195,29.30406,57.2938,55.77997,55.82298,58.25243,54.83871,51.80723,63.1068,43.01075,27.71084
CAROLINA SANDHILLS NATIONAL WILDLIFE REFUGE  ,44.35494,42.18111,41.75178,76.08626,74.40394,73.83548,78.64078,64.51613,46.98795,52.42718,34.4086,10.84337
